id,Target_Index,system,src,ref,hyps,mqm_score
0,1101,HuaweiTSC,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучи других повреждений, за которые я должен был заплатить, включая царапины на двери, которые якобы потребовали перекрасить заднюю часть автомобиля через несколько дней после того, как я вернул свой прокат.",-1
1,1101,JDExploreAcademy,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучи других повреждений, за которые с меня также взыщут - в том числе царапины на двери, которые якобы потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул свой прокат.",-5.1
2,1101,Lan-Bridge,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялось множество других повреждений, за которые я также буду платить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.",-6.2
3,1101,M2M100_1.2B-B4,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором упоминалось о множестве других повреждений, за которые я также был бы обременен, включая царапины на дверях, которые якобы требовали перекрашивания задней части автомобиля через несколько дней после того, как я вернул свою аренду.",-11
4,1101,Online-A,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением множества других повреждений, за которые мне также будут взимать плату, включая царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул свою аренду.",-10
5,1101,Online-B,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялось множество других повреждений, за которые я также должен был заплатить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул свою аренду.",-6.2
6,1101,Online-G,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялась куча других повреждений, за которые мне также придется заплатить, включая царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.",0
7,1101,Online-W,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после возвращения домой я получил письмо с перечнем других повреждений, за которые с меня взыщут деньги, включая царапины на двери, которые якобы потребовали перекраски задней части автомобиля через несколько дней после возвращения машины.",0
8,1101,Online-Y,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после возвращения домой я получил письмо с перечислением множества других повреждений, за которые мне также будет взиматься плата, включая царапины на двери, которые якобы потребовали перекраски задней части машины через несколько дней после возврата аренды.",-11
9,1101,PROMT,"A few weeks after I returned home, I received a letter listing a bunch of other damage I’d be charged for as well—including scratches to the door which supposedly required repainting the rear of the car a few days after I returned my rental.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, �?включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечнем множества других повреждений, за которые с меня также будут взимать плату, включая царапины на двери, которые якобы требовали перекраски задней части машины через несколько дней после того, как я вернул свой прокат.",-1
