id,Target_Index,system,src,ref,hyps,mqm_score
0,276,AIRC,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Kann es sein, dass Google Search mit Google Maps integriert ist?",-1.0
1,276,GPT4-5shot,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass Google Suche mit Google Maps integriert ist?",-3.0
2,276,Lan-BridgeMT,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass Google Search mit Google Maps integriert ist?",-1.0
3,276,NLLB_Greedy,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass Google Search mit Google Maps integriert ist?",-2.0
4,276,NLLB_MBR_BLEU,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass Google Search in Google Maps integriert ist?",-1.0
5,276,ONLINE-A,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
6,276,ONLINE-B,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
7,276,ONLINE-G,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
8,276,ONLINE-M,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Kann es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
9,276,ONLINE-W,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
10,276,ONLINE-Y,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
11,276,ZengHuiMT,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",-1.0
12,276,refA,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?","Könnte es sein, dass die Google Suche in Google Maps integriert ist?",-1.1
13,146,AIRC,"This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts. It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Dies ist eine sehr kurze Darstellung eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien übereinstimmen, die die Existenz von objektiven wissenschaftlichen Fakten behaupten. Das ist *kein* Argument für die Existenz von objektiven wissenschaftlichen Fakten, an die ich nicht glaube.","Dies ist eine sehr kurze Skizze eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien im Einklang stehen, die das Bestehen objektiver wissenschaftlicher Fakten behaupten.",-6.0
14,146,GPT4-5shot,"This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts. It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Dies ist eine sehr kurze Darstellung eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien übereinstimmen, die die Existenz von objektiven wissenschaftlichen Fakten behaupten. Das ist *kein* Argument für die Existenz von objektiven wissenschaftlichen Fakten, an die ich nicht glaube.","Dies ist eine sehr kurze Skizze eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien vereinbar sind, die die Existenz objektiver wissenschaftlicher Fakten behaupten. Es ist *kein* Argument für die Existenz objektiver wissenschaftlicher Fakten, an die ich nicht glaube.",-0.0
15,146,Lan-BridgeMT,"This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts. It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Dies ist eine sehr kurze Darstellung eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien übereinstimmen, die die Existenz von objektiven wissenschaftlichen Fakten behaupten. Das ist *kein* Argument für die Existenz von objektiven wissenschaftlichen Fakten, an die ich nicht glaube.","Dies ist eine sehr kurze Skizze eines plausiblen Arguments, dass Theorien des Kapitalismus, die den tatsächlichen Inhalt der Wissenschaft beeinflussen, mit Theorien übereinstimmen, die die Existenz objektiver wissenschaftlicher Fakten behaupten. Es ist *nicht* ein Argument für die Existenz objektiver wissenschaftlicher Fakten, an die ich nicht glaube.",-1.0
