id,Target_Index,system,src,ref,hyps,mqm_score
0,1693,GPT4-5shot,כאלה שממש משחקים,The kind who really play,Those who really play.,-5.0
1,1693,Samsung_Research_Philippines,כאלה שממש משחקים,The kind who really play,The ones that really play.,-6.0
2,1693,ONLINE-G,כאלה שממש משחקים,The kind who really play,Those who really play,-1.0
3,1693,refA,כאלה שממש משחקים,The kind who really play,The kind who really play,-0.0
4,1693,NLLB_Greedy,כאלה שממש משחקים,The kind who really play,The kind that actually play.,-0.0
5,1693,NLLB_MBR_BLEU,כאלה שממש משחקים,The kind who really play,The ones that actually play.,-5.0
6,1693,ZengHuiMT,כאלה שממש משחקים,The kind who really play,The kind that actually plays the game.,-5.0
7,1693,GTCOM_Peter,כאלה שממש משחקים,The kind who really play,The ones that really play.,-5.0
8,1693,ONLINE-Y,כאלה שממש משחקים,The kind who really play,Those who actually play,-0.0
9,1693,ONLINE-B,כאלה שממש משחקים,The kind who really play,Those who really play,-1.0
10,1693,Lan-BridgeMT,כאלה שממש משחקים,The kind who really play,The ones that actually play.,-5.1
11,1693,ONLINE-A,כאלה שממש משחקים,The kind who really play,The kind that actually plays,-0.0
12,1693,UvA-LTL,כאלה שממש משחקים,The kind who really play,People who really play.,-0.0
13,158,GPT4-5shot,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.","The new price for a liter of 95 octane gasoline will be 8.08, and those who want full service will have to pay an additional 21 agorot per liter.",-0.0
14,158,Samsung_Research_Philippines,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.",The new price for a liter of 95 octane gasoline will be 8.08 and those seeking full service will be required to pay another 21 cents per litre.,-1.0
15,158,ONLINE-G,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.",The new price for a 95-octane liter of gasoline will be 8.08 and those who wish to enjoy full service will be required to pay an additional 21 cents per liter.,-1.0
16,158,refA,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.",-0.0
17,158,NLLB_Greedy,"המחיר החדש לליטר בנזין 95 אוקטן, יעמוד על-8.08 ומי שיבקש להינות משירות מלא, יידרש לשלם עוד 21 אגורות לליטר.","The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.",The new price for a liter of 95-octane gasoline will be 8.08 and those who want to enjoy full service will be required to pay an additional 21 cents per liter.,-1.0
