id,Target_Index,GPT4-5shot,GTCOM_Peter,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-Y,refA,refB,Samsung_Research_Philippines,UvA-LTL,ZengHuiMT
0,1693,Those who really play.,The ones that really play.,The ones that actually play.,The kind that actually play.,The ones that actually play.,The kind that actually plays,Those who really play,Those who really play,Those who actually play,The kind who really play,Ones who really play,The ones that really play.,People who really play.,The kind that actually plays the game.
1,158,"The new price for a liter of 95 octane gasoline will be 8.08, and those who want full service will have to pay an additional 21 agorot per liter.",The new price for a liter of 95-octane gasoline will be -8.08 and those who wish to enjoy full service will be required to pay another 21 cents per liter.,The new price for a liter of 95-octane gasoline will be 8.08 and anyone wishing to enjoy full service will be required to pay an additional 21 cents a liter.,The new price for a liter of 95-octane gasoline will be 8.08 and those who want to enjoy full service will be required to pay an additional 21 cents per liter.,"The new price for the liter of 95-octane gasoline, will stand at 8.08 and those who wish to enjoy full service will be required to pay an additional 21 cents per liter.","The new price for a liter of 95-octane gasoline will be 8.08, and those who wish to enjoy full service will be required to pay an additional 21 agorot per liter.",The new price per liter of 95 octane gasoline will be 8.08 and those who wish to enjoy full service will be required to pay another 21 cents per liter.,The new price for a 95-octane liter of gasoline will be 8.08 and those who wish to enjoy full service will be required to pay an additional 21 cents per liter.,The new price per liter of 95-octane gasoline will be 8.08 and those wishing to enjoy full service will be required to pay an additional 21 penny per liter.,"The new price per liter of 95 octane gasoline will be 8.08 NIS and those who wish to enjoy full service, will be requested to pay an extra 21 agorot per liter.","The new price per liter of 95-octane gasoline will be 8.08 shekels, and those who wish to enjoy full service will need to pay an additional 21 agorot per liter.",The new price for a liter of 95 octane gasoline will be 8.08 and those seeking full service will be required to pay another 21 cents per litre.,The new price for a liter of 95-octane gasoline will be 8.08 and those who wish to enjoy full service will be required to pay an additional 21 agorot per liter.,The new price per liter of 95-octane gasoline will be 8/8. 08 Those who wish to enjoy full service will be required to pay an additional 21 cents per liter.
2,531,"Another deficiency found relates to the fact that since the committee began its work, the Ministry of Health has not asked the health funds to report on the extent of use and utilization of the drugs in the basket - which would have allowed to analyze and control the budget given to them.","Another defect that was found concerns the fact that since the committee began its activities, the Ministry of Health has not asked the health funds for reports on the extent of use and utilization of the drugs in the basket - which would have made it possible to analyze and audit the budget given to them.","Another flaw is that since the committee started, the Ministry of Health has not asked the hospitals to report on the volume of use and utilization of the drugs in Basel X, which would allow them to analyze and control the budget given to them.","Another deficiency found concerns the fact that since the committee began its activities, the Ministry of Health did not ask the hospital funds for reports on the extent of the use and utilization of the drugs that were cancelled, which would have allowed to analyze and control the budget allocated to them.","Another deficiency found concerns the fact that since the commission began operation, the Ministry of Health has not asked the hospital funds for reports on the extent of use and utilization of the drugs in the database  which would allow to analyze and control the budget allocated to them.","Another flaw found relates to the fact that since the committee began its activity, the Ministry of Health has not asked the health funds for reports on the scope of uses and utilization of the drugs in the basket – which would have made it possible to analyze and control the budget given to them.","Another deficiency that was found relates to the fact that since the committee began its activities, the Ministry of Health has not asked the health funds for reports on the scope of uses and utilization of the drugs in the basket - which would have allowed for the analysis and control of the budget given to them.","Another flaw is that since the committee began its activity, the Ministry of Health has not asked the health funds for reports on the scope of the uses and utilization of the drugs in the basket – which would have allowed them to analyze and audit the budget given to them.","Another flaw found concerns that since the commission began operations, the Ministry of Health has not asked the HMO for reports on the extent of the use and utilization of the drugs in the basket — which would have made it possible to analyze and review the budget given to them.","Another discrepancy found relates to the fact that ever since the committee began its activities, the Ministry of Health has not asked the health funds for reports on the scope of uses and utilization of the medicines in the basket – which would have allowed for the analysis and control of the budget given to them.","Another deficiency found is that since the committee began its activity, the Ministry of Health did not request the healthcare providers to report on the extent of drug usage and utilization from the basket, which would have allowed for analysis and control of the budget allocated to them.",The Ministry of Health has not asked HMOs for reports on the extent of use and use of the drugs in the basket - which could analyze and audit.,"Another flaw found relates to the fact that since the committee began its activities, the Ministry of Health has not asked the health funds for reports on the extent of the use and utilization of the drugs in the basket - which would have made it possible to analyze and control the budget given to them.","Another flaw found relates to the fact that since the committee began its activities, the Ministry of Health has not asked the HMOs for reports on the scope of uses and utilization of the drugs in the basket  which would have made it possible to analyze and control the budget given to them."
3,227,"The State Comptroller noted in a report two months ago that two million employees are entitled to tax refunds amounting to 3.6 billion shekels, which means it's worth checking if you are also entitled to a tax refund.","The State Comptroller noted in a report from about two months ago that two million employees are entitled to tax refunds of NIS 3.6 billion, which means that you should also check whether you are eligible to receive tax refunds.","The State Auditor stated in a report about two months ago that two million employees are eligible for tax refunds of NIS 3.6 billion, which means you should also check if you are eligible for tax refunds.","The state comptroller said in a report from about two months ago that two million employees are eligible for a tax refund of NIS 3.6 billion, which means you should check to see if you're eligible for a tax refund.","The comptroller of the state noted in a report from about two months ago that two million workers are eligible for a tax refund of NIS 3.6 billion, which means you should check if you're eligible, too.","The State Comptroller noted in a report from two months ago that two million employees are entitled to tax refunds of NIS 3.6 billion, which means that you should also check whether you are eligible for tax refunds.","The State Comptroller stated in a report from about two months ago that two million employees are entitled to tax refunds in the amount of 3.6 billion shekels, which means that you should also check whether you are entitled to receive tax refunds.","The State Comptroller noted in a report two months ago that two million employees are entitled to tax returns totaling NIS 3.6 billion, which means you should also check whether you are eligible to receive tax returns.","The state comptroller noted in a report two months ago that two million employees are eligible for tax rebates of NIS 3.6 billion, which means you should also check whether you are eligible to receive tax returns.","The State Comptroller stated in a report published about two months ago, that two million employees are entitled to tax refunds of 3.6 billion NIS, meaning you should also check whether you are entitled to receive tax refunds.","The State Comptroller noted in a report two months ago that two million employees are entitled to tax refunds totaling 3.6 billion shekels, which means that it's also worth checking if you are eligible to receive tax refunds.",The auditor noted in a report two months ago that two million employees are eligible for tax refunds of NIS 3.6 billion.,"The State Comptroller noted in a report two months ago that two million employees are entitled to tax refunds of NIS 3.6 billion, which means that you should also check whether you are eligible for tax refunds.","The State Comptroller noted in a report from two months ago that two million employees are entitled to tax refunds of 3%. NIS 6 billion, which means you should also check whether you are entitled to tax refunds."
4,267,"On the other hand, despite the Corona crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel was 11,675 shekels gross.","On the other hand, despite the coronavirus crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel stood at NIS 11,675 gross.","On the other hand, despite the coronavirus crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at 11,675 shekels gross.","On the other hand, despite the corona crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at 11,675 shekels gross.","On the other hand, despite the corona crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at NIS 11,675 gross.","On the other hand, despite the COVID-19 crisis, wages in 2021 increased by 2% compared to 2020, and the average gross salary in Israel was NIS 11,675.","On the other hand, despite the corona crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11,675 gross.","On the other hand, despite the Corona crisis, wages in 2021 increased by 2% compared to 2020, and the average salary in Israel was NIS 11,675 gross.","On the other hand, despite the coronavirus crisis, wages in 2021 rose 2% compared to 2020, and the average salary in Israel was 11,675 gross shekels.","On the other hand, despite the Corona Virus crisis, wages in 2021 increased by 2% compared to 2020, and the average gross salary in Israel was 11,675 NIS.","On the other hand, despite the COVID-19 crisis, the salary in 2021 increased by 2% compared to 2020, and the average salary in Israel stood at 11,675 shekels gross.","On the other hand, despite the coronavirus crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11,675.","On the other hand, despite the COVID-19 crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11,675 gross.","On the other hand, despite the coronavirus crisis, wages in 2021 increased by 2% compared to 2020, and the average wage in Israel was NIS 11, 675 gross."
5,496,"A Turkish fan named Ahmet accused the singer of being hypocritical, as in 2017 Kiev refused to cancel two performances that took place in Israel, despite the heavy criticism he received from pro-Palestinian organizations.","A Turkish fan named Ahmet slammed the singer as a hypocrite, as in 2017 Kiev refused to cancel two concerts held in Israel, despite much criticism from pro-Palestinian organizations.","A Turkish fan named Ahmed has been criticized for being a transgender singer, as in 2017 Kiev refused to cancel two concerts in Israel, despite much criticism from pro-Palestinian organizations.","A Turkish fan named Ahmet has denounced the singer as a hypocrite, since in 2017 he refused to cancel two concerts in Israel, despite much criticism from pro-Palestinian organizations.","A Turkish fan named Ahmet denounced the singer as a hypocrite, as in 2017 he refused to cancel two concerts in Israel, despite much criticism from pro-Palestinian organizations.","A Turkish fan named Ahmet accused the singer of being a hypocrite, since in 2017 Kiev refused to cancel two concerts held in Israel, despite criticism from pro-Palestinian groups.","A Turkish fan named Ahmet slammed the singer as a hypocrite, since in 2017 Kyiv refused to cancel two concerts that took place in Israel, despite the heavy criticism he received from pro-Palestinian organizations.","A Turkish fan named Ahmet slammed the singer as a hypocrite, as in 2017 Kiev refused to cancel two concerts held in Israel, despite widespread criticism from pro-Palestinian groups.","A Turkish fan named Ahmet told the singer that he was a hypocrite, since in 2017 Kiev refused to cancel two performances held in Israel, despite much criticism from pro-Palestinian organizations.","A Turkish fan named Ahmet announced the singer to be a hypocrite, since in 2017 Cave refused to cancel two concerts that took place in Israel, despite the heavy criticism he received from pro-Palestinian organizations.","A Turkish fan named Ahmet accused the singer of being hypocritical, as in 2017 Cave refused to cancel two concerts that took place in Israel, despite receiving significant criticism from pro-Palestinian organizations.",Turkish fan Ahmet slammed the singer for being hypocritical as Kiev refused to cancel two shows in Israel in 2017 despite criticism.,"A Turkish fan named Ahmet slammed the singer as a hypocrite, as in 2017 Kiev refused to cancel two shows in Israel, despite much criticism from pro-Palestinian groups.","A Turkish fan named Ahmet told the singer that he was a hypocrite, since in 2017 Kiev refused to cancel two performances held in Israel, despite the much criticism he received on behalf of pro-Palestinian organizations."
6,1092,"""The third world war will be a cyber war but the world is not prepared for it.""","""World War III will be a hacker war, but the world is not prepared for it.""","""World War III will be a hacker war, but the world is not ready for it"".","""World War III will be a hacker war but the world is not ready for it"".","""World War III will be a hacker war but the world is not ready for it"".","""World War III will be a hacker war, but the world is not prepared for it.""","""World War III will be a war of hackers, but the world is not prepared for it.""","""World War III will be a hacker war, but the world is not prepared for it.""",“World War III will be a hacker war but the world is not prepared for it.”,"“World War III will be a war of hackers, but the world is not prepared for it”.","""World War III will be a war of hackers, but the world is not prepared for it"".","World War III will be a war of hackers, but the world is not prepared for it.","""World War III will be a hacker war, but the world is not prepared for it.""","“ World War III will be a hacker war, but the world is not prepared for it.”"
7,1564,"It would be more interesting to hear how many people received pensions from Israel Post, how much the real estate of the branches (located in the city centers) is worth, and what the minimum wage of the employees is.","It was more interesting to hear how many people received allowances from the Israel Post, how much the real estate of the branches (located in the centers of the requested cities) is worth, and how much the employees' wages are (minimum).","It was more interesting to hear how many people received allowances at the Israel Post, how much the real estate of the branches (located in the requested city centers) was worth, and how much the workers were paid (minimum).","It was more interesting to hear how many people received benefits at the Israel Post, how much the real estate of the branches (located in the desirable city centers) is worth, and how much the employees' wages (minimum).","It was more interesting to hear how many people got benefits at Israel Post, how much is the real estate of the branches (located in the most desirable city centers), and how much the employees' wages are (minimum).","It was more interesting to hear how many people received allowances at the Israel Post, how much the real estate of the branches (located in the requested city centers) is worth, and how much the salary of the employees (minimum).","It was more interesting to hear how many people received allowances at Israel Post, how much the real estate of the branches (located in the centers of the requested cities) is worth, and how much the wages of the employees (minimum).","It was more interesting to hear how many people received pensions in the Israel Post, how much the real estate of the branches (located in the sought-after city centers) is worth, and how much the wages of the workers (minimum).","It was more interesting to hear how many people received allowances by Israel Post, how much the real estate of the branches (located in the requested city centers) is worth, and how much the wages of the workers (minimum) are.","It would have been more interesting to hear how many people received allowances at Israel Post, how much the real estate of the branches (located in the centers of the requested cities) is worth, and how much is the wages of the employees (minimal wages).","It would have been more interesting to hear how many people received royalties via the Israel Post, how much the rental cost of the branches is (located in sought-after city centers), and how much the employees' salaries are (minimum).","It was more interesting to hear how many people received stipends in Israel Post, how much the branches are worth, and how much.","It was more interesting to hear how many people received pensions at the Israel Post, how much the real estate of the branches (located in the centers of the requested cities) is worth, and how much the wages of the workers (minimum).","It was more interesting to hear how many people received allowances from Israel Post, how much the real estate of the branches ( located in the requested city centers) is worth, and how much the wages of the workers ( minimum) are worth"
8,404,"Afghan Whigs, Shlomi Shaban, Noga Erez, Avitar Banai and Tess are among the names that will take part in the Indnegev Festival, which will take place from October 20 to 22.","Afghan Wigs, Shlomi Shaban, Naga Erez, Avitar Banai and Tess are among the names that will take part in the Indigab Festival, which will take place from October 20 to 22.","Afghani Weegz, Shalomi Sheven, Neha Arz, Abhir Benai and Tess are among the names taking part in the Indie festival, which will take place from October 20 to 22.","Afghan Whigs, Shlomi Sheban, Nega Erez, Abter Banai and Tess are among the names taking part in the Indiegogo festival, which will take place from October 20 to 22.","Afghan Whigs, Shalomi Shephan, Nega Erez, Abhir Bani and Tess are among the names taking part in the Indiegogo festival, taking place from October 20 to 22.","Afghan Wiggs, Shlomi Shaban, Noga Erez, Evyatar Banai and Tess are among the names that will take part in the Indinegev festival, which will take place between October 20 and 22.","The Afghan Wigs band, Shlomi Shaban, Nega Erez, Avitar Banai and Tess are among the names that will take part in the Indingev festival, which will take place between October 20 and 22.","Afgan Wigz, Shlomi Shaban, Noga Erez, Aviatar Banai and Tess are among the names who will take part in the Indingav Festival, which will take place from October 20-22.","Afgan band Wigaz, Shlomi Shaban, Noga Erez, Abither Banai and Tess are among the names who will take part in the Indingab festival, which will take place from October 20 to 22.","The Afghan Whigs band, Shlomi Shaban, Noga Erez, Eviatar Banai and Tess are among the names that will take part in the InDNegev festival, which will take place from October 20 to October 22.","The bands Afghan Whigs, Shlomi Shaban, Noga Erez, Eviatar Banai and Tess are among the names that will take part in the IndieNegev Festival, which will be held from October 20th to 22nd.","Afgan Wigz, Shlomi Shaban, Noga Erez, Evyatar Banai and Tess are among the names that will be taking part in the IndiNegev festival, which takes place from 20-22 October.","Afghan Wigs, Shlomi Shaban, Noga Erez, Eviatar Banai and Tess are among the names that will take part in the InDnegev Festival, which will take place from October 20 to 22.","Afghan Wiggs, Shlomi Shaban, Noga Erez, Evyatar Banai and Tess are among the names that will take part in the Indingab festival, which will take place between October 20 and 22."
9,1797,Wizz Air on cargo and the return flight takes significantly longer!!!,Wizz Air on charge and return take much more significantly!!!,Wizz Air on cargo and seating take a much more significant!! - What?,Wizz Air on cargo and sitting take much more significant!!!,Wizz Air on cargo and sitting take a lot more significant!!!,Wizz Air on cargo and seating take much more significantly!!,Wiz Air charges much more for cargo and landing!!!,Wizz Air on luggage and seat take a lot more!!!,Air whizz on luggage and seating take a lot more significantly!!!,Wiz Air charges much more for cargo and seats!!!,Wizz Air charges significantly more for baggage and seating!,Wizz Air on luggage and seating takes a lot more!!!!,Wizz Air on cargo and seating takes a lot more meaning!!!,Wizz Air on cargo and seating take much more significantly.
