id,Target_Index,ANVITA,GPT4-5shot,HW-TSC,IOL_Research,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-M,ONLINE-W,ONLINE-Y,refA,synthetic_ref,Yishu,ZengHuiMT
0,1262,"The clothes worked well, because the size was too small and had to be returned, but after the return, more than a week has passed and no refund has been received?","The clothes were well made, but due to the small size, I had to return them. However, it's been over a week since I returned them and I still haven't received a refund?","The workmanship of the clothes is good, because the size is too small, I had to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund?","Clothes workmanship is good, because the fit is small, had to return, but after returning the goods, so far more than a week has passed, have not received a refund?","The clothes are well made, but because the size is too small, I had to return them. However, after returning the goods, it has been more than a week and I have not received a refund yet?","The clothes are good, because the prints are small, and they have to be returned, but it's been more than a week since the return, and I still haven't received my refund?","The clothes are nice to have, since the prints are small, they have to be returned, but it's been more than a week since the return but I haven't received the refund yet!","The clothes are good workmanship, because the shape is too small, I have to return it, but after returning the goods, more than a week has passed so far, and I haven't received a refund?","The workmanship of the clothes is good, because the size is too small, I have to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund?","The workmanship of the clothes is good, because the version is too small, I have to return the goods, but after the goods are returned, more than a week has passed, and I haven't received a refund yet?","Clothes work well, because the version is small, only have to return, but after returning the goods, so far more than a week has passed, have not received a refund?","The dress is well made and I only had to return it because the fit was on the small side, but after returning it, over a week has passed so far and I haven't received a refund?","The garment was made very well, I had to return it because the fit was too small, but it's been over a week since I returned it, and I haven't received a refund yet?","The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes were well made, but due to the small size, I had to return them. However, it's been over a week since I returned them and I still haven't received a refund?","The workmanship of the clothes is good, because the size is too small, I had to return the goods. After returning the goods, more than a week has passed, and I have not received a refund?","The workmanship of the clothes is good, because the version is small, so I have to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund yet."
1,1885,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the dress is very good.,The quality of the clothes is excellent.,The clothing is of excellent quality.,The quality of the clothes is very good.,The quality of the clothes is very good.,The quality of the clothes is very good.
2,1496,"Once again, Amazon is expected to be meticulous about the source of its products.","Once again, there is an expectation for Amazon to be meticulous and strictly control the source of its products.","Once again, I hope that Amazon will be meticulous and strictly control the source of products.",Amazon is once again expected to be scrupulous and strict about the source of goods.,"Once again, I hope that Amazon can be meticulous and strictly control the source of goods.","Once again, expect Amazon to be as uncompromising as ever in sourcing products.","Once again, I expect Amazon to be careful about sourcing its products.","Once again, Amazon is expected to be meticulous and strict with the source of goods.","Once again, I hope that Amazon will be meticulous and strictly control the source of products.",I once again expect Amazon to be meticulous and strictly control the source of goods.,"Again, expect Amazon to be meticulous and strict to the source of goods.","Once again, I expect Amazon to be meticulous and tighten up the source of their merchandise.","Once again, we expect Amazon to be meticulous and strictly control the origin of products.","Once more, I anticipate that Amazon will be very careful and cautious about the origin of the products.","Once again, I hope that Amazon will be meticulous and strictly control the source of products.","Once again, I hope that Amazon will be meticulous and strictly control the source of products.","Again, I hope that Amazon can be meticulous and strictly control the source of goods."
3,1851,"No response, no acknowledgment of receipt and no test report!","There are no replies, receipts, or inspection reports!","There is no reply, receipt or test report!",There is no reply and receipt and test report!,"There was no reply, receipt, or inspection report!",No response and no reprimand and no test report!,There was no reply and no reply and no test reports!,There are no replies and receipts and test reports!,"There is no reply, receipt or test report!","There are no replies, receipts, and test reports!",There are no responses and test reports!,There was no response or return receipt or test report!,No replies or receipts or test reports!,"There is no response, acknowledgement or test report!","There are no replies, receipts, or inspection reports!","There is no reply, receipt or test report!",No replies and no receipts and no test reports.
4,1765,Amazon is strongly advised to discontinue EMS!,It is strongly recommended that Amazon stop using EMS!,It is strongly recommended that Amazon disable EMS!,It is highly recommended that Amazon deactivate EMS!,Strongly suggest Amazon stop using EMS!,Amazon strongly recommends that you stop using EMS!,Amazon is strongly recommended to stop EMS!,It is highly recommended that Amazon deactivate EMS!,It is strongly recommended that Amazon disable EMS!,It is strongly recommended that Amazon disable EMS!,I strongly recommend Amazon to stop using EMS!,Strongly recommend that Amazon discontinue EMS !,I highly recommend Amazon discontinue EMS!,It is highly advised that Amazon turn off EMS!,It is strongly recommended that Amazon stop using EMS!,It is strongly recommended that Amazon disable EMS!,Amazon is strongly advised to stop using EMS
5,1678,"When I bought it for the first time, there was a problem with something, and all the lights were flashing and unusable.","The first time I bought it, there was a problem with the item, all the lights were flashing and it was unusable.","When I bought it for the first time, something was wrong, all the lights were blinking, and it didn't work.","When I first bought it, there was something wrong with it, all the lights were flashing and it couldn't be used.","The first time I bought it, there was a problem with the item, all the lights were flashing, and it couldn't be used.","The first time I bought it, there was a problem, all the lights were flickering and not working.","The first time I bought it, there was a problem, all the lights were flashing and could not be used.","When I first bought it, there was something wrong with the thing, all the lights were flashing and it didn't work.","When I bought it for the first time, something was wrong, all the lights were blinking, and it didn't work.","When I bought it for the first time, there was a problem with something, all the lights were flashing and it couldn't be used.","When I bought it for the first time, there was something wrong, and all the lights were flashing and couldn’t be used.","The first time I bought it, there was something wrong with the thing, all the lights were blinking and it didn't work.","When I first bought it, there was a problem with the item. All the lights were blinking and I couldn't use it.","When I first purchased it, there was a problem, all of the lights were flickering, and it was inoperable.","When I first bought it, there was something wrong with it, all the lights were flashing and it couldn't be used.","When I bought it for the first time, something was wrong, all the lights were blinking, and it didn't work.","When I bought it for the first time, there was something wrong with it, all the lights were flashing and it didn't work."
6,1100,"At the time, the Communist Party leadership was forced to step down as protesters throughout East Germany demanded democracy and freedom.","At that time, due to protesters across East Germany demanding democracy and freedom, the Communist Party leaders were forced to step down.","At the time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At the time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At that time, due to protesters across East Germany demanding democracy and freedom, the Communist Party leaders were forced to step down.",The Communist Party leaders were forced to step down as protesters across East Germany demanded democracy and freedom.,"At that time, the Communist Party leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At that time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At the time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At that time, the leaders of the Communist Party were forced to step down as protestors across East Germany demanded democracy and freedom.","At the time, the leaders of the Communist Party were forced to step down as protesters across East Germany demanded democracy and freedom.","At that time, communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At the time, communist leaders were forced to step down due to protesters from all over East Germany demanding democracy and freedom.","At that time, due to widespread protests demanding democracy and freedom across East Germany, Communist party leaders were forced to step down.","At the time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At the time, Communist leaders were forced to step down as protesters across East Germany demanded democracy and freedom.","At the time, Communist Party leaders were forced to step down as protesters across East Germany demanded democracy and freedom."
7,1560,"If I just come across one of these, I recognize it, I buy several of them like this, I look to Amazon customer service, the customer service says that I can refund, but the shipping fee is advanced, and the shipping fee is returned to me in the form of a gift card.","If I had just encountered one like this, I would have accepted it, but I bought several like this. I contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping upfront, and then the shipping cost would be returned to me in the form of a gift card.","If I only come across one like this, I will recognize it and buy a few that are like this. I contacted Amazon customer service, and the customer service said that it can be refunded, but the shipping fee will be paid in advance, and then the shipping fee will be returned to me in the form of a gift card.","If I just came across one of these, I recognized it, bought a few are like this, looking for Amazon customer service, customer service said it can be refunded, but the shipping costs advance, and then the shipping costs in the form of a gift card back to me.","If I just encountered one like this, I would accept it, but I bought several like this, contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping, and then the shipping cost would be returned to me in the form of a gift card.","If I just happen to see one of these, I admit, and buy a few of these, I go to Amazon and they say it's a return, but the shipping is paid for, and the shipping is returned to me in the form of a gift card.","If I just bump into one of these, I admit, I buy them all and I go to Amazon, and they say they can be returned, but the shipping cost is paid, and the shipping is returned to me in the form of a gift card.","If I just come across one of these, I recognize it, buy a few of them are like this, go to Amazon customer service, the customer service says that it can be refunded, but the freight is paid in advance, and then the freight is returned to me in the form of gift cards.","If I only come across one like this, I will recognize it and buy a few that are like this. I find Amazon customer service, and the customer service says that it can be refunded, but the shipping fee will be paid in advance, and then the shipping fee will be returned to me in the form of a gift card.","If I just come across one like this, I recognize it, and I bought a few like this. If I find Amazon customer service, the customer service will say that it can be refunded, but the shipping fee will be paid in advance, and then the shipping fee will be returned to me in the form of a gift card.","If I just come across one of these, I admit, bought a few are like this, look for Amazon customer service, customer service said can return, but the shipping fee is advanced, and then the shipping fee is returned to me in the form of a gift card.","If I just ran into one of these, I'd admit it, bought a few that were like this, went to Amazon customer service, who then said I could return them, but the shipping was padded, and then the shipping was returned to me in the form of a gift card.","If I only came across one like this, I agree. I bought a few of them all like this. When I called Amazon customer service, the customer service said it was refundable, but the shipping fee was paid in advance, and then the shipping fee was returned to me in the form of a gift card.","I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.","If I just encountered one like this, I would accept it, but I bought several like this, contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping, and then the shipping cost would be returned to me in the form of a gift card.","If I only come across one like this, I will recognize it and buy a few that are like this. I contacted Amazon customer service, and the customer service said that it can be refunded, but the shipping fee will be paid in advance, and then the shipping fee will be returned to me in the form of a gift card.","If I just come across one like this, I accept it, and I bought a few like this. I ask Amazon customer service, and the customer service says it can be refunded, but the freight is paid in advance, and then the freight is returned to me in the form of a gift card."
8,1802,It has been used 3-4 times.,It has already been used 3-4 times.,Have used it 3-4 times.,It's been used 3-4 times.,I have used it 3-4 times already.,It's been used 3-4 times already.,It's been used 3-4 times already.,Already used 3-4 times.,Have used it 3-4 times.,It has been used 3-4 times.,It has been used 3-4 times.,It has been used 3-4 times.,Have used it 3-4 times.,I've used it 3-4 times.,It has been used 3-4 times.,Have used it 3-4 times.,It has been used 3-4 times.
9,1906,He would later go on to buy the toy.,He had a blast playing with it~ I'll probably continue to buy toys from this brand in the future.,He was amazed and laughed again and again ~ he will probably continue to buy toys of this brand in the future.,He laughed and laughed and probably will continue to buy this brand of toys in the future.,He plays with continuous laughter~ Probably will continue to buy toys of this brand in the future.,He joked that he would probably continue to buy the brand's toys for years to come.,He smiled and said that he would probably continue to buy this brand of toy for years to come.,He played with amazement and laughter~ I will probably continue to buy this brand of toys in the future.,He was amazed and laughed again and again ~ he will probably continue to buy toys of this brand in the future.,He laughed and laughed again and again~ he will probably continue to buy toys of this brand in the future.,He laughed and would probably continue to buy this brand of toys.,He played with it and laughed in amazement ~ he will probably continue to buy this brand of toys in the future.,He had a lot of fun and was amazed; he will probably continue to buy toys of this brand in the future.,He laughed and marveled while he played ~  will probably keep purchasing toys from this manufacturer.,He played with amazement and laughter~ I will probably continue to buy this brand of toys in the future.,He was amazed and laughed again and again ~ he will probably continue to buy toys of this brand in the future.,He laughed so much that he would probably continue to buy toys of this brand in the future.
