id,Target_Index,system,src,ref,hyps,mqm_score
0,1262,ANVITA,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes worked well, because the size was too small and had to be returned, but after the return, more than a week has passed and no refund has been received?",-2.0
1,1262,GPT4-5shot,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes were well made, but due to the small size, I had to return them. However, it's been over a week since I returned them and I still haven't received a refund?",-0.1
2,1262,HW-TSC,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The workmanship of the clothes is good, because the size is too small, I had to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund?",-4.1
3,1262,IOL_Research,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","Clothes workmanship is good, because the fit is small, had to return, but after returning the goods, so far more than a week has passed, have not received a refund?",-4.1
4,1262,Lan-BridgeMT,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes are well made, but because the size is too small, I had to return them. However, after returning the goods, it has been more than a week and I have not received a refund yet?",-1.0
5,1262,NLLB_Greedy,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes are good, because the prints are small, and they have to be returned, but it's been more than a week since the return, and I still haven't received my refund?",-7.0
6,1262,NLLB_MBR_BLEU,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes are nice to have, since the prints are small, they have to be returned, but it's been more than a week since the return but I haven't received the refund yet!",-3.1
7,1262,ONLINE-A,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The clothes are good workmanship, because the shape is too small, I have to return it, but after returning the goods, more than a week has passed so far, and I haven't received a refund?",-3.0
8,1262,ONLINE-B,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The workmanship of the clothes is good, because the size is too small, I have to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund?",-5.0
9,1262,ONLINE-G,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The workmanship of the clothes is good, because the version is too small, I have to return the goods, but after the goods are returned, more than a week has passed, and I haven't received a refund yet?",-3.1
10,1262,ONLINE-M,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","Clothes work well, because the version is small, only have to return, but after returning the goods, so far more than a week has passed, have not received a refund?",-4.0
11,1262,ONLINE-W,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The dress is well made and I only had to return it because the fit was on the small side, but after returning it, over a week has passed so far and I haven't received a refund?",-2.0
12,1262,ONLINE-Y,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The garment was made very well, I had to return it because the fit was too small, but it's been over a week since I returned it, and I haven't received a refund yet?",-1.1
13,1262,Yishu,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The workmanship of the clothes is good, because the size is too small, I had to return the goods. After returning the goods, more than a week has passed, and I have not received a refund?",-4.0
14,1262,ZengHuiMT,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The workmanship of the clothes is good, because the version is small, so I have to return the goods, but after returning the goods, more than a week has passed, and I have not received a refund yet.",-7.0
15,1262,refA,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?","The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?",-2.0
16,1885,ANVITA,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
17,1885,GPT4-5shot,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
18,1885,HW-TSC,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
19,1885,IOL_Research,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
20,1885,Lan-BridgeMT,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
21,1885,NLLB_Greedy,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
22,1885,NLLB_MBR_BLEU,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
23,1885,ONLINE-A,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
24,1885,ONLINE-B,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
25,1885,ONLINE-G,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
26,1885,ONLINE-M,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the clothes is very good.,-0.0
27,1885,ONLINE-W,衣服的质量非常好。,The clothing is of excellent quality.,The quality of the dress is very good.,-1.0
